stazione_id;data;inquinante;valore
"7";2023-08-23;O3;195
"7";2023-08-23;PM10;25
"2";2023-08-22;C6H6;0.5
"2";2023-08-22;NO2;47
"2";2023-08-22;O3;
"2";2023-08-22;PM10;26
"2";2023-08-22;PM25;16
"2";2023-08-22;SO2;2.5
"3";2023-08-22;CO_8h;0.6
"3";2023-08-22;NO2;86
"4";2023-08-22;C6H6;0.5
"4";2023-08-22;CO_8h;
"4";2023-08-22;NO2;55
"4";2023-08-22;PM10;25
"4";2023-08-22;PM25;16
"6";2023-08-22;C6H6;0.5
"6";2023-08-22;CO_8h;0.25
"6";2023-08-22;NO2;37
"6";2023-08-22;PM10;30
"6";2023-08-22;PM25;17
"7";2023-08-22;NO2;39
"7";2023-08-22;O3;155
"7";2023-08-22;PM10;32
"2";2023-08-21;C6H6;0.5
"2";2023-08-21;NO2;27
"2";2023-08-21;O3;155
"2";2023-08-21;PM10;24
"2";2023-08-21;PM25;15
"2";2023-08-21;SO2;2.5
"3";2023-08-21;CO_8h;0.5
"3";2023-08-21;NO2;41
"4";2023-08-21;C6H6;0.5
"4";2023-08-21;CO_8h;
"4";2023-08-21;NO2;28
"4";2023-08-21;PM10;28
"4";2023-08-21;PM25;16
"6";2023-08-21;C6H6;0.5
"6";2023-08-21;CO_8h;0.25
"6";2023-08-21;NO2;19
"6";2023-08-21;PM10;27
"6";2023-08-21;PM25;16
"7";2023-08-21;NO2;19
"7";2023-08-21;O3;171
"7";2023-08-21;PM10;
"2";2023-08-11;C6H6;0.5
"2";2023-08-11;NO2;44
"2";2023-08-11;O3;149
"2";2023-08-11;PM10;20
"2";2023-08-11;PM25;10
"2";2023-08-11;SO2;2.5
"3";2023-08-11;CO_8h;0.25
"3";2023-08-11;NO2;37
"4";2023-08-11;C6H6;0.5
"4";2023-08-11;CO_8h;0.8
"4";2023-08-11;NO2;51
"4";2023-08-11;PM10;20
"4";2023-08-11;PM25;10
"6";2023-08-11;C6H6;
"6";2023-08-11;CO_8h;0.25
"6";2023-08-11;NO2;36
"6";2023-08-11;PM10;23
"6";2023-08-11;PM25;13
"7";2023-08-11;NO2;34
"7";2023-08-11;O3;166
"7";2023-08-11;PM10;20
"2";2023-08-10;C6H6;0.5
"2";2023-08-10;NO2;60
"2";2023-08-10;O3;
"2";2023-08-10;PM10;14
"2";2023-08-10;PM25;7
"2";2023-08-10;SO2;2.5
"3";2023-08-10;CO_8h;0.25
"3";2023-08-10;NO2;60
"4";2023-08-10;C6H6;0.5
"4";2023-08-10;CO_8h;0.7
