_id,ZONA,CODICE_AREA,AREA_MQ,PERIM_M,PARCO,LONG_X_4326_CENTROID,LAT_Y_4326_CENTROID,Location
145,3,215,6.58203125,12.7186934767,PARCO DELL'ACQUA,9.252039554605831,45.48185868358252,"(45.48185868358252, 9.252039554605831)"
146,3,215,6.5947265625,12.7376750208,PARCO DELL'ACQUA,9.251902340872961,45.48189760844159,"(45.48189760844159, 9.251902340872961)"
147,3,215,6.6997070313,12.9273988168,PARCO DELL'ACQUA,9.252151317674752,45.482125527574475,"(45.482125527574475, 9.252151317674752)"
148,3,215,6.6928710938,12.8894524325,PARCO DELL'ACQUA,9.25225797122351,45.482150431846506,"(45.482150431846506, 9.25225797122351)"
149,3,215,6.6083984375,12.7313375166,PARCO DELL'ACQUA,9.251971539207464,45.482254820966354,"(45.482254820966354, 9.251971539207464)"
150,3,215,23.70703125,34.2727710428,PARCO DELL'ACQUA,9.25177381636333,45.48191784827636,"(45.48191784827636, 9.25177381636333)"
151,3,215,20.35546875,32.6168477293,PARCO DELL'ACQUA,9.251845111961385,45.481774690776746,"(45.481774690776746, 9.251845111961385)"
152,3,215,14.0629882813,15.3544652904,PARCO DELL'ACQUA,9.251169257804994,45.48207188024238,"(45.48207188024238, 9.251169257804994)"
153,8,68,310846.670410156,2702.9586112016,PARCO MONTE STELLA,9.133835262192994,45.490004583061506,"(45.490004583061506, 9.133835262192994)"
154,7,360,92754.8349609375,1423.4132291456,PARCO DEI FONTANILI,9.100031967438959,45.44947082984134,"(45.44947082984134, 9.100031967438959)"
155,1,40,19175.5161132812,719.599063262,GIARDINO DELLA VILLA BELGIOJOSO BONAPARTE,9.199105456580032,45.47200336742872,"(45.47200336742872, 9.199105456580032)"
156,4,131,126940.997558594,2092.2566218633,PARCO GINO CASSINIS,9.233774510551067,45.43333626858384,"(45.43333626858384, 9.233774510551067)"
157,6,198,9014.1142578125,414.2218599037,GIARDINO VINCENZO MUCCIOLI,9.1590483641733,45.455410789159856,"(45.455410789159856, 9.1590483641733)"
158,1,151,379698.75,5850.3749540512,PARCO SEMPIONE,9.176809318297183,45.473396830037544,"(45.473396830037544, 9.176809318297183)"
159,8,308,31713.0678710938,988.8106663776,PARCO GUIDO VERGANI E GIARDINO VALENTINO BOMPIANI,9.16421369687021,45.476475755738356,"(45.476475755738356, 9.16421369687021)"
160,8,308,2394.75390625,190.0009147433,PARCO GUIDO VERGANI E GIARDINO VALENTINO BOMPIANI,9.162925934834504,45.47234857845313,"(45.47234857845313, 9.162925934834504)"
161,8,308,42784.2197265625,1734.9847122866,PARCO GUIDO VERGANI E GIARDINO VALENTINO BOMPIANI,9.16072895473905,45.47015730830867,"(45.47015730830867, 9.16072895473905)"
162,6,242,35600.3393554688,1188.7131956223,PARCO ROBERT BADEN POWELL,9.167165755514679,45.448395047443846,"(45.448395047443846, 9.167165755514679)"
163,9,28,9076.0546875,548.7255634799,GIARDINO BRUNO MUNARI,9.186673932391189,45.492892996857336,"(45.492892996857336, 9.186673932391189)"
164,2,62,119487.320800781,2400.3977046427,PARCO MARTIRI DELLA LIBERTA' IRACHENI VITTIME DEL TERRORISMO,9.232318017697606,45.502827206441964,"(45.502827206441964, 9.232318017697606)"
165,3,6,5743.1098632813,417.867922578,GIARDINO SERGIO RAMELLI,9.22019518054228,45.47650485065633,"(45.47650485065633, 9.22019518054228)"
166,5,224,225.0043945313,77.6785506832,PARCO EX OM,9.190765178969516,45.44420258379438,"(45.44420258379438, 9.190765178969516)"
167,5,224,1052.6904296875,155.907460307,PARCO EX OM,9.191163841197971,45.44410658446529,"(45.44410658446529, 9.191163841197971)"
168,5,224,103.8461914063,43.6978204711,PARCO EX OM,9.191708157277526,45.44405363936441,"(45.44405363936441, 9.191708157277526)"
169,5,224,29.1674804688,23.5673207156,PARCO EX OM,9.191854486889829,45.44405321345098,"(45.44405321345098, 9.191854486889829)"
170,5,224,20.5405273438,20.0977166069,PARCO EX OM,9.19200344285575,45.44405007267287,"(45.44405007267287, 9.19200344285575)"
171,5,224,250.9140625,95.0938060389,PARCO EX OM,9.192316000207134,45.444064123584276,"(45.444064123584276, 9.192316000207134)"
172,8,326,9622.2211914063,487.2423806904,GIARDINO CARMELO BENE,9.160129454259023,45.48937756954117,"(45.48937756954117, 9.160129454259023)"
173,5,236,263.3984375,77.2869526752,PARCO CASCINA CAIMERA,9.166850294678687,45.4300185235048,"(45.4300185235048, 9.166850294678687)"
174,5,236,57.4814453125,32.9326695175,PARCO CASCINA CAIMERA,9.167045377748902,45.430046153216225,"(45.430046153216225, 9.167045377748902)"
175,5,236,18664.2412109375,1043.119296727,PARCO CASCINA CAIMERA,9.168042301365697,45.43140259994761,"(45.43140259994761, 9.168042301365697)"
176,5,236,51686.80078125,1730.7424884111,PARCO CASCINA CAIMERA,9.170541164968407,45.43004541415893,"(45.43004541415893, 9.170541164968407)"
177,5,78,4.5551757813,8.5386457219,GIARDINO MARIO CAPPONI,9.185055452998753,45.443448809595054,"(45.443448809595054, 9.185055452998753)"
