stazione_id;data;inquinante;valore
"2";2014-01-27;C6H6;1.5
"2";2014-01-27;NO2;71
"2";2014-01-27;O3;74
"2";2014-01-27;PM10;31
"2";2014-01-27;PM25;26
"2";2014-01-27;SO2;2.5
"3";2014-01-27;CO_8h;1.7
"3";2014-01-27;NO2;124
"4";2014-01-27;C6H6;1.5
"4";2014-01-27;CO_8h;2.3
"4";2014-01-27;NO2;81
"5";2014-01-27;NO2;99
"5";2014-01-27;O3;60
"6";2014-01-27;C6H6;1.5
"6";2014-01-27;CO_8h;1.3
"6";2014-01-27;NO2;76
"6";2014-01-27;PM10;32
"6";2014-01-27;PM25;27
"7";2014-01-27;NO2;84
"7";2014-01-27;O3;65
"7";2014-01-27;PM10;27
"8";2014-01-27;C6H6;1.5
"8";2014-01-27;CO_8h;1.8
"8";2014-01-27;NO2;112
"1";2014-01-28;NO2;79
"2";2014-01-28;C6H6;1.5
"2";2014-01-28;NO2;69
"2";2014-01-28;O3;35
"2";2014-01-28;PM10;51
"2";2014-01-28;PM25;43
"2";2014-01-28;SO2;2.5
"3";2014-01-28;CO_8h;1.2
"3";2014-01-28;NO2;124
"4";2014-01-28;C6H6;3
"4";2014-01-28;CO_8h;1.8
"4";2014-01-28;NO2;77
"5";2014-01-28;NO2;100
"5";2014-01-28;O3;33
"6";2014-01-28;C6H6;1.5
"6";2014-01-28;CO_8h;1.2
"6";2014-01-28;NO2;67
"6";2014-01-28;PM10;50
"6";2014-01-28;PM25;42
"7";2014-01-28;NO2;77
"7";2014-01-28;O3;30
"7";2014-01-28;PM10;38
"8";2014-01-28;C6H6;
"8";2014-01-28;CO_8h;1.3
"8";2014-01-28;NO2;98
"1";2014-01-29;NO2;98
"2";2014-01-29;C6H6;1.5
"2";2014-01-29;NO2;67
"2";2014-01-29;O3;26
"2";2014-01-29;PM10;51
"2";2014-01-29;PM25;46
"2";2014-01-29;SO2;2.5
"3";2014-01-29;CO_8h;1.5
"3";2014-01-29;NO2;164
"4";2014-01-29;C6H6;3
"4";2014-01-29;CO_8h;1.9
